2532,[3. 2.]
2533,[0. 1.]
2534,[12. 11.]
2535,[2. 4.]
2536,[0. 0.]
2537,[0. 2.]
2538,[2. 7.]
2539,[0. 2.]
2540,[0. 3.]
2541,[0. 0.]
2542,[3. 3.]
2543,[1. 0.]
2544,[0. 1.]
2545,[4. 2.]
2546,[1. 0.]
2547,[0. 0.]
2548,[0. 0.]
2549,[0. 0.]
2550,[2. 2.]
2551,[0. 0.]
2552,[1. 0.]
2553,[3. 3.]
2554,[0. 0.]
2555,[5. 1.]
2556,[1. 1.]
2557,[3. 0.]
2558,[1. 1.]
2559,[3. 6.]
2560,[12. 12.]
2561,[1. 0.]
2562,[1. 0.]
2563,[11.  4.]
2564,[1. 1.]
2565,[0. 1.]
